dataset_name_ru,dataset_name_en,record_id,category,element,definition_or_function,example_or_designation,source_standard,verification_status,source_url
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-001,general,Конструктивный элемент,"Местное изменение формы или поверхности детали для дополнительных свойств при изготовлении, сборке или эксплуатации",Шпоночный паз 10±0.018,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-002,general,Технологический элемент,"Элемент для удобства изготовления или сборки либо обусловленный способом изготовления","Фаска; проточка; литейный уклон",,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-003,hole,Цилиндрическое отверстие,"Отверстие цилиндрической формы","Ø",,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-004,hole,Резьбовое отверстие,"Отверстие с внутренней резьбой","M6-6H",,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-005,hole,Отверстие под крепёж,"Сквозные отверстия под крепёжные детали",,"ГОСТ 11284-75",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-006,hole,Квадратное или продолговатое отверстие,"Отверстие для болтов, винтов или шпилек",,"ГОСТ 16030-70",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-007,hole,Зенковка,"Цилиндрическое или коническое углубление для установки крепежа",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-008,thread,Резьба,"Винтовой рельеф на цилиндрической или конической поверхности","M6-6H; M8-6g",,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-009,thread,Сбег резьбы,"Участок уменьшения профиля резьбы",,"ГОСТ 10549",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-010,shaft,Лыска,"Плоский срез цилиндрической, конической или сферической поверхности параллельно оси",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
