record_id,category,item,engineering_meaning,verification_status,source_url
"R001","definition","Реверс-инжиниринг","Исследование готового изделия для понимания принципа работы и создания воспроизводимого аналога с возможной доработкой","source","https://pavel-samuta.livejournal.com/33322.html"
"R002","output","Конструкторская документация","Пакет КД должен функционально соответствовать физическому образцу и фиксировать требования для изготовления","source","https://pavel-samuta.livejournal.com/33322.html"
"R003","principle","Не копировать только геометрию","Форма изделия сама по себе не гарантирует сохранение технологии, ресурса и функции","source","https://pavel-samuta.livejournal.com/33322.html"
"R004","principle","Проектировать продукт","Аналог должен решать задачу пользователя, а не только внешне повторять исходник","source","https://pavel-samuta.livejournal.com/33322.html"
"R005","screening","Уникальный софт","Если ключевая ценность изделия находится в уникальной программной среде, локализация железа может не решить задачу","source","https://pavel-samuta.livejournal.com/33322.html"
"R006","screening","Патентованный принцип","Если критическая функция защищена патентом или зависит от недоступной технологии, требуется отдельная правовая и техническая оценка","source","https://pavel-samuta.livejournal.com/33322.html"
"R007","screening","Спецматериал","Недоступный специальный материал может стать ограничением локализации","source","https://pavel-samuta.livejournal.com/33322.html"
"R008","fit","Механические изделия","Валы, оси, втулки, шкивы, ступицы и другие механические детали названы подходящими объектами","source","https://pavel-samuta.livejournal.com/33322.html"
"R009","fit","Передачи","Зубчатые колёса, венцы, червячные пары, вал-шестерни и сателлиты","source","https://pavel-samuta.livejournal.com/33322.html"
"R010","fit","Оснастка","Матрицы, пуансоны, детали штампов и пресс-форм","source","https://pavel-samuta.livejournal.com/33322.html"
"R011","fit","Энергетика и машиностроение","Механические и функциональные устройства этих отраслей названы перспективными для реверса","source","https://pavel-samuta.livejournal.com/33322.html"
"R012","workflow","1. Техническая возможность и бюджет","Проверить, можно ли изготовить продукт доступными технологиями и в требуемой экономике","source","https://pavel-samuta.livejournal.com/33322.html"
"R013","workflow","2. Реверс-инжиниринг","Исследовать образец, конструкцию, функцию, материалы и производственные ограничения","source","https://pavel-samuta.livejournal.com/33322.html"
"R014","workflow","3. Конструкторская документация","Зафиксировать воспроизводимое техническое решение","source","https://pavel-samuta.livejournal.com/33322.html"
