dataset_name_ru,dataset_name_en,record_id,category,process_or_factor,ra_min_um,ra_max_um,class_range,function_or_effect,source_status,source_url
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-001,process,Фрезерование,0.4,12.5,3-8,"Ориентировочный диапазон шероховатости, приводимый автором для процесса",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-002,process,Сверление,0.2,12.5,3-9,"Ориентировочный диапазон шероховатости, приводимый автором для процесса",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-003,process,Прорезание,3.2,50,1-5,"Ориентировочный диапазон шероховатости, приводимый автором для процесса",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-004,process,Протягивание,0.2,6.3,4-9,"Ориентировочный диапазон шероховатости, приводимый автором для процесса",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-005,process,Резьбонарезание,1.6,6.3,4-6,"Ориентировочный диапазон шероховатости, приводимый автором для процесса",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-006,process,Развертывание,0.4,2.5,5-8,"Ориентировочный диапазон шероховатости, приводимый автором для процесса",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-007,process,Растачивание,0.1,3.2,5-10,"Ориентировочный диапазон шероховатости, приводимый автором для процесса",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-008,process,Шлифование,0.1,3.2,5-10,"Ориентировочный диапазон шероховатости, приводимый автором для процесса",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-009,function,Трение и износ,,,,"Шероховатость контактирующих поверхностей влияет на трение и износ",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-010,function,Уплотнение,,,,"Текстура поверхности влияет на способность контактной пары образовывать уплотнение",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-011,function,Окраска,,,,"Шероховатость влияет на смачивание и толщину лакокрасочного слоя",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-012,function,Коррозионная стойкость,,,,"В публикации более высокая шероховатость связана со снижением коррозионной стойкости из-за смачивания и большего числа активных участков",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-013,function,Оптические поверхности,,,,"Оптические и рентгеновские компоненты требуют особенно высокого качества поверхности",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-014,function,Гидродинамическая поверхность,,,,"Для гребного винта качество поверхности связано с трением, вибрацией и кавитационными явлениями",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-015,function,Цилиндр двигателя,,,,"Минимальная шероховатость может быть функционально нужна для удержания масла в профиле поверхности",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-016,factor,Режущий инструмент,,,,"Выбор и состояние режущего инструмента влияют на получаемую поверхность",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-017,factor,Состояние станка,,,,"Состояние оборудования влияет на качество обработанной поверхности",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-018,factor,Подача,,,,"Подача названа одним из факторов качества поверхности",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-019,factor,Скорость обработки,,,,"Скорость обработки названа одним из факторов качества поверхности",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-020,factor,Ширина реза,,,,"Ширина реза названа одним из факторов качества поверхности",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-021,factor,Глубина резания,,,,"Глубина резания названа одним из факторов качества поверхности",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-022,factor,Температура в помещении,,,,"Температура в помещении названа среди факторов, влияющих на результат обработки",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-023,factor,СОЖ,,,,"Тип смазочно-охлаждающей жидкости назван среди факторов качества поверхности",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-024,factor,Вибрация,,,,"Вибрация названа среди факторов качества поверхности",source_statement,https://pavel-samuta.livejournal.com/24787.html
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-025,selection,Условия эксплуатации,,,,"При выборе требования автор предлагает учитывать условия эксплуатации",source_statement,https://pavelsamuta.com/articles/kak-podobrat-neobkhodimuiu-sherokhovatost-poverkhnosti
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-026,selection,Нагрузка,,,,"При выборе требования автор предлагает учитывать уровень нагрузки",source_statement,https://pavelsamuta.com/articles/kak-podobrat-neobkhodimuiu-sherokhovatost-poverkhnosti
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-027,selection,Скорость,,,,"При выборе требования автор предлагает учитывать скорость работы",source_statement,https://pavelsamuta.com/articles/kak-podobrat-neobkhodimuiu-sherokhovatost-poverkhnosti
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-028,selection,Срок службы,,,,"При выборе требования автор предлагает учитывать требуемый срок службы",source_statement,https://pavelsamuta.com/articles/kak-podobrat-neobkhodimuiu-sherokhovatost-poverkhnosti
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-029,selection,Свойства материала,,,,"При выборе требования автор предлагает учитывать свойства материала",source_statement,https://pavelsamuta.com/articles/kak-podobrat-neobkhodimuiu-sherokhovatost-poverkhnosti
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-030,selection,Точность,,,,"При выборе требования автор предлагает учитывать требуемый уровень точности",source_statement,https://pavelsamuta.com/articles/kak-podobrat-neobkhodimuiu-sherokhovatost-poverkhnosti
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-031,parameter,Ra,,,,"Среднее арифметическое отклонение профиля",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-032,parameter,Rz,,,,"Высота неровностей профиля по десяти точкам",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-033,parameter,Rmax,,,,"Наибольшая высота неровностей профиля",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-034,parameter,Sm,,,,"Средний шаг неровностей профиля",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-035,parameter,S,,,,"Средний шаг неровностей профиля по вершинам",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-036,parameter,tp,,,,"Относительная опорная длина профиля",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-037,surface_type,Ограничительные и соединительные поверхности,2.5,20,,"В публикации приведены Ra 20...2,5 мкм и Rz 80...10 мкм",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-038,surface_type,Установочные поверхности,2.5,20,,"Неподвижный контакт без требований по герметичности; Ra 20...2,5 мкм, Rz 80...10 мкм",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-039,surface_type,Рабочие поверхности,0.16,2.5,,"Поверхности с относительным движением; Ra 2,5...0,16 мкм, Rz 10...0,8 мкм",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-040,surface_type,Специальные поверхности,1.25,5,,"Для внешних корпусов механизмов и агрегатов в публикации приведены Ra 5,0...1,25 мкм",source_statement,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-041,selection,Несопрягаемые неответственные поверхности,12.5,12.5,,"Авторский ориентир: основания, кронштейны, корпуса, проходные отверстия под крепёж, детали под сварку и гибку",author_practice,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-042,selection,Прилегающие непосадочные поверхности,6.3,6.3,,"Авторский ориентир: опорные плоскости корпусов и кронштейнов, крышки, торцы бобышек, канавки, фаски и зенковки",author_practice,https://dzen.ru/a/YC5P7zrW7nh8YsuH
"Выбор шероховатости поверхности","Surface Roughness Selection",SR-043,selection,Гладкие функциональные поверхности,1.6,3.2,,"Авторская группа Ra 3,2; 2,5; 1,6: рабочие шпонки и пазы, профиль зуба, канавки под уплотнения, тепловой контакт и склейка",author_practice,https://dzen.ru/a/YC5P7zrW7nh8YsuH
