dataset_name_ru,dataset_name_en,record_id,category,name,definition_or_role,load_mode_or_property,example_or_period,source_url
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-001,concept,Tensegrity,"Принцип построения самонапряженных структур из раздельных сжатых элементов и непрерывной системы растянутых элементов","сжатие + растяжение",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-002,terminology,Tensional integrity,"Английское выражение, от которого образован термин tensegrity","целостность посредством растяжения",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-003,element,Стержень,"Жесткий элемент структуры","сжатие",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-004,element,Трос,"Гибкий растянутый элемент, фиксирующий относительное положение стержней","растяжение",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-005,principle,Самонапряжение,"Предварительно напряженное состояние системы растянутых и сжатых элементов","prestress",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-006,principle,Самоуравновешивание,"Баланс внутренних усилий обеспечивает устойчивость системы","equilibrium",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-007,principle,Разделение режимов нагрузки,"Элементы нагружены преимущественно либо чистым сжатием, либо чистым растяжением","compression/tension",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-008,geometry,Раздельные стержни,"Стержни в описанной структуре не соприкасаются и удерживаются системой растянутых тросов","discontinuous compression",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-009,property,Стабильность,"Минимальное число жестких элементов может образовывать устойчивую структуру при наличии натяжения","stability",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
"Тенсегрити: элементы, нагрузки и применения","Tensegrity Structures",TEN-010,property,Распределение деформации,"При деформации изменение распределяется по взаимосвязанной структуре","distributed deformation",,https://dzen.ru/a/XpgZ6-KkPjd1INyO
