record_id,category,factor,condition,value,unit,level,example,source_note,interpretation
KD-001,detail_drawing,reference_time,"A4; 22-27 counted dimensions",0.96,hours,,"Ось","Публикация Павла Самуты 08.12.2022; таблица 12 нормативов","Ориентир времени оформления при заданных условиях; не полный срок инженерной разработки"
KD-002,detail_complexity,complexity_group,"Простая форма; специальные расчёты не требуются",,,1,"Ось; палец; шайба; гладкий валик; втулка","Классификация из нормативов, приведённая в публикации","Базовая группа сложности детали"
KD-003,detail_complexity,complexity_group,"Простая форма; несколько рабочих поверхностей; специальные расчёты не требуются",,,2,"Ступенчатый валик; фланец; рычаг; тяга","Классификация из нормативов, приведённая в публикации","Повышение сложности относительно группы 1"
KD-004,detail_complexity,complexity_group,"Сочетание прямолинейных и криволинейных рабочих поверхностей; требуется расчёт размерных цепей",,,3,"Многоступенчатый вал; шкив; зубчатое колесо; простой литой корпус","Классификация из нормативов, приведённая в публикации","Требуется учитывать расчётные и сопрягаемые параметры"
KD-005,detail_complexity,complexity_group,"Много сопрягаемых поверхностей; специальные расчёты; повышенные требования по допускам",,,4,"Коленчатый вал; коническое колесо; червячная пара; корпус редуктора","Классификация из нормативов, приведённая в публикации","Высокая сложность детали"
KD-006,detail_complexity,complexity_group,"Пространственное расположение сопрягаемых поверхностей; сложные расчёты; жёсткие размерные цепи",,,5,"Тонкостенный корпус; корпус коробки скоростей; прецизионный ходовой винт","Классификация из нормативов, приведённая в публикации","Максимальная группа сложности в приведённой классификации"
KD-007,assembly_novelty,novelty_category,"По имеющемуся образцу без значительных конструктивных и размерных изменений",,,A,,"Классификация из нормативов, приведённая в публикации","Минимальная новизна в приведённой шкале"
KD-008,assembly_novelty,novelty_category,"Модификация с унифицированными и заимствованными элементами",,,B,,"Классификация из нормативов, приведённая в публикации","Модификация существующего решения"
KD-009,assembly_novelty,novelty_category,"Значительные технические и принципиальные изменения; новые размерные параметры; нужна экспериментальная проверка",,,C,,"Классификация из нормативов, приведённая в публикации","Высокая новизна с экспериментальной проверкой"
KD-010,assembly_novelty,novelty_category,"Все новые параметры; экспериментальная проверка узлов",,,D,,"Классификация из нормативов, приведённая в публикации","Максимальная новизна в приведённой шкале"
KD-011,assembly_drawing,reference_time,"Сборочный чертёж формата А1; 2 детали минимум",3,hours,,,"Нормативный диапазон, приведённый в публикации","Нижняя точка приведённого диапазона"
KD-012,assembly_drawing,reference_time,"Сборочный чертёж формата А1; 78-100 деталей",30,hours,,,"Нормативный диапазон, приведённый в публикации","Верхняя точка приведённого диапазона"
KD-013,assembly_drawing,worked_example,"Роликовая опора; 16 учитываемых деталей; поправочный коэффициент формата 0.5",7,hours,,"Опора роликовая","Расчётный пример из публикации: 14 ч × 0.5","Пример применения норматива и поправочного коэффициента"
KD-014,specification,reference_time,"На одну позицию спецификации",0.10,hours_per_position,,,"Норма, приведённая в публикации","Умножается на число учитываемых позиций"
KD-015,specification,worked_example,"12 позиций спецификации",1.2,hours,,"Опора роликовая","Расчётный пример из публикации","12 × 0.10 часа"
KD-016,language,correction_factor,"Документация на русском и иностранном языках",1.15,coefficient,,,"Поправочный коэффициент из публикации","Применяется к нормативному времени при двуязычном оформлении"
KD-017,novelty,correction_factor,"Проектирование изделия без аналога",1.25,coefficient,,,"Поправочный коэффициент из публикации","Учитывает отсутствие аналога в рамках приведённого норматива"
KD-018,technical_calculation,reference_time,"Подготовка и оформление расчётов; А4; плотность 25 строк × 30 знаков",0.85,hours_per_A4,,,"Норма, приведённая в публикации","Отдельно от времени непосредственного проведения расчёта"
KD-019,technical_calculation,reference_time,"Проведение расчётов; А4; плотность 25 строк × 30 знаков",0.95,hours_per_A4,,,"Норма, приведённая в публикации","Ориентир на проведение расчёта"
KD-020,form_development,reference_time,"Более 9 входящих единиц; за каждые дополнительные 2 единицы",0.25,hours_per_2_units,,,"Норма, приведённая в публикации","Дополнительная трудоёмкость отработки формы"
KD-021,drawing_fill,correction_factor,"Фактическое заполнение выше нормального",1.1,coefficient,,,"Поправочный коэффициент из публикации","Корректирует норму при повышенной насыщенности листа"
KD-022,planning,factor,"Объём работ",,,,,,"Авторский перечень факторов в публикации","Использовать при предварительной оценке"
KD-023,planning,factor,"Сложность",,,,,,"Авторский перечень факторов в публикации","Использовать при предварительной оценке"
KD-024,planning,factor,"Опыт сотрудников",,,,,,"Авторский перечень факторов в публикации","Нормативное время не равно фактической производительности конкретного специалиста"
KD-025,planning,factor,"Имеющиеся ресурсы",,,,,,"Авторский перечень факторов в публикации","Проверить доступность людей и производственной информации"
KD-026,planning,factor,"Доступные инструменты",,,,,,"Авторский перечень факторов в публикации","САПР и средства автоматизации меняют фактическую трудоёмкость"
KD-027,planning,factor,"Необходимость проведения тестирования",,,,,,"Авторский перечень факторов в публикации","Испытания могут определять срок и объём работы"
KD-028,planning,factor,"Выделяемый бюджет",,,,,,"Авторский перечень факторов в публикации","Ограничение проекта; не самостоятельная мера инженерной сложности"
KD-029,quality_metric,metric,"Замечания по КД при отработке на технологичность",,count,,,"Метрика, предложенная в публикации","Требует классификации причин замечаний"
KD-030,quality_metric,metric,"Извещения об изменении КД за период эксплуатации",,count,,,"Метрика, предложенная в публикации","Количество без причины и стадии обнаружения не показывает качество само по себе"
