dataset_name_ru,dataset_name_en,record_id,category,item,engineering_meaning,examples,verification_status,source_url
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F001","definition","Посадка","Характер соединения двух деталей, определяемый разностью их размеров до сборки","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F002","notation","Поле допуска отверстия","В обозначении посадки записывается в числителе","H7","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F003","notation","Поле допуска вала","В обозначении посадки записывается в знаменателе","g6","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F004","tolerance","Допуск посадки","Сумма допусков отверстия и вала, составляющих соединение","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F005","quality_grade","Квалитет IT02","Квалитет 02","IT02","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F006","quality_grade","Квалитет IT07","Седьмой квалитет","IT07","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F007","quality_grade","Квалитет IT14","Четырнадцатый квалитет","IT14","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F008","deviation","Основные отклонения отверстий","Обозначаются прописными латинскими буквами","A...ZC","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F009","deviation","Основные отклонения валов","Обозначаются строчными латинскими буквами","a...zc","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F010","selection_factor","Характер сопряжения","Перед выбором посадки определяется подвижное или неподвижное сопряжение","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F011","selection_factor","Скорость относительного перемещения","Учитывается как конструктивное требование при выборе посадки","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F012","selection_factor","Компенсация погрешностей монтажа","Учитывается при выборе посадки","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F013","selection_factor","Центрирование","Необходимость центрирования влияет на выбор посадки","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F014","selection_factor","Нагрузка","Учитываются величина и характер нагрузок, передаваемых сопряжением","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F015","machining","Черновая обработка","Диапазон точности 12-16 квалитетов; шероховатость Ra 100...25 мкм","IT12-IT16; Ra 100...25 μm","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F016","machining","Получистовая обработка","Точность 11-12 квалитетов; Ra 50...12,5 мкм","IT11-IT12; Ra 50...12.5 μm","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
