record_id,category,key,value_ru,value_en
"C001","scope","metallic_coating","Металлическое покрытие","Metallic coating"
"C002","scope","nonmetallic_coating","Неметаллическое покрытие","Non-metallic coating"
"C003","drawing","technical_requirements","Обозначение покрытия указывают в технических требованиях чертежа","Coating designation is specified in drawing technical requirements"
"C004","paint","layer_sequence","Лакокрасочное покрытие задаётся последовательностью слоёв","Paint coating is defined by a layer sequence"
"C005","galvanic","designation_structure","Обозначение может включать подготовку основы, способ нанесения, материал, толщину, электролит, свойства и дополнительную обработку","Designation may include base treatment, deposition method, material, thickness, electrolyte, properties and additional treatment"
"C006","galvanic","cadmium","Кадмиевое покрытие","Cadmium coating"
"C007","galvanic","gold","Золотое покрытие","Gold coating"
"C008","galvanic","silver","Серебряное покрытие","Silver coating"
"C009","galvanic","rhodium","Родиевое покрытие","Rhodium coating"
"C010","galvanic","tin","Оловянное покрытие","Tin coating"
"C011","galvanic","copper","Медное покрытие","Copper coating"
"C012","thickness","thin_layer_exception","Покрытия до 1 мкм могут иметь особенность обозначения","Coatings up to 1 μm may require special designation treatment"
"C013","alloy","composition","Для покрытия сплавом может указываться состав сплава","Alloy coating designation may include alloy composition"
"C014","method","deposition_method","Способ получения покрытия может входить в обозначение","Deposition method can be part of the designation"
"C015","property","decorative","Могут задаваться декоративные свойства","Decorative properties may be specified"
"C016","property","functional","Могут задаваться функциональные свойства","Functional properties may be specified"
"C017","treatment","additional","Может задаваться дополнительная обработка после нанесения","Additional treatment after coating may be specified"
"C018","base","surface_preparation","Подготовка основного металла до покрытия влияет на результат","Base-metal treatment before coating affects the final result"
"C019","example","Fe_Zn8c2C","Fe/Zn8c2C","Fe/Zn8c2C"
"C020","example","A3L","A3L","A3L"
"C021","corrosion","environment","Коррозионная стойкость зависит от системы покрытия и среды эксплуатации","Corrosion resistance depends on coating system and operating environment"
"C022","control","roughness","Шероховатость до покрытия влияет на качество покрытия","Surface roughness before coating can affect coating quality"
"C023","control","thickness","Толщина покрытия требует контроля","Coating thickness requires control"
"C024","physics","faraday","Толщина электроосаждённого покрытия связана с параметрами электрохимического процесса","Electrodeposited thickness is related to electrochemical deposition parameters"
"C025","thermal_spray","process","Газотермическое напыление является отдельной группой процессов нанесения","Thermal spraying is a separate coating process family"
"C026","drawing","special_surfaces","Разные или специальные поверхности могут требовать раздельных указаний покрытия","Different or special surfaces may require separate coating instructions"
"C027","drawing","dimensions","Размеры необходимо соотносить с состоянием поверхности до или после покрытия","Dimensions may need interpretation relative to coating state"
"C028","drawing","roughness_state","Требования шероховатости нужно связывать с состоянием до или после покрытия","Roughness requirements should be related to the pre- or post-coating state"
"C029","standard","GOST_9_306_85","ГОСТ 9.306-85 приведён в источнике; проверить актуальность","GOST 9.306-85 is cited in the source; verify current status"
"C030","standard","ISO_4042","ГОСТ Р ИСО 4042 рассматривается для покрытий крепежа; проверить актуальность","GOST R ISO 4042 is discussed for fastener coatings; verify current status"
