dataset_name_ru,dataset_name_en,record_id,category,factor,description,example_or_value,reference_period,source_url
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-001","scope","Содержание и тип работы","Состав требуемой КД и характер задачи влияют на оценку","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-002","scope","Объем работ","Количество документов, моделей и связанных операций влияет на трудоемкость","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-003","complexity","Сложность","Сложность геометрии и инженерной задачи влияет на время и стоимость","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-004","schedule","Срок","Срочность может увеличивать стоимость из-за приоритета и загрузки исполнителя","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-005","qualification","Квалификация исполнителя","Опыт и подготовка конструктора влияют на цену и риск переделок","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-006","drawing","Формат листа","Сам по себе формат не определяет трудоемкость: на одинаковом формате может быть разная плотность информации","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-007","drawing","Плотность графической информации","Количество графической информации на формате листа используется как фактор оценки","7222 объекта на A3; 46 объектов на A4","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-008","accuracy","Точность размеров","Более жесткие требования к точности повышают сложность подготовки и изготовления","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-009","accuracy","Точность формы","Один из показателей точности детали, который должен быть задан в КД","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-010","accuracy","Взаимное расположение поверхностей","Требования к расположению поверхностей входят в оценку точности детали","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-011","accuracy","Шероховатость поверхности","Требуемая шероховатость входит в набор параметров точности и технологичности","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-012","reverse_engineering","Точность измерительного инструмента","При восстановлении КД по готовой детали учитывается точность применяемых средств измерения","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-013","reverse_engineering","Габариты измеряемой детали","Размер физического образца влияет на трудоемкость замеров и восстановления КД","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-014","reverse_engineering","Криволинейные поверхности","Количество сложных криволинейных поверхностей влияет на трудоемкость измерения и моделирования","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-015","manufacturability","Технологичность конструкции","Конструкция должна учитывать производственную, эксплуатационную и ремонтную технологичность","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-016","engineering","Разработка идеи","Цена оформления чертежа не равна цене разработки технической идеи и ее реализации","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-017","engineering","Сопровождающие расчеты","Расчеты добавляют инженерную трудоемкость сверх построения модели и чертежа","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-018","cad","Сложность 3D-моделирования","Трудоемкость ассоциативного чертежа зависит от сложности построения исходной 3D-модели","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-019","change","Изменения по инициативе заказчика","Стоимость корректировок зависит от масштаба изменений и затрачиваемых усилий","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-020","change","Исправление ошибки исполнителя","В статье рекомендуется заранее различать исправление ошибки инженера и изменение требований заказчика","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-021","software","Требуемая CAD-система","Требование выполнить проект в конкретной САПР может влиять на стоимость лицензии и организацию работы","SolidWorks; КОМПАС-3D; Inventor; Mechanical AutoCAD","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-022","software","Версия CAD","Требование конкретной версии программного обеспечения может создавать дополнительные затраты","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
